# Notion snapshot, Public? = checked, pulled 2026-08-09.
# gid|slug|shelf|pages|yearPublished|dateRead|isbn
58935131|unthinkable|read|428|2022|2024-01-05|9780063209787
59616977|building-a-second-brain|read|272|2022|2022-10-19|9781982167387
132917|a-short-history-of-reconstruction|read|297|1990|2022-08-05|9780060964313
122769179|renegade|read|316|2023|2023-12-29|9780593654170
60321447|chip-war|read|431|2022|2023-02-09|9781982172008
167770288|counting-the-cost|read|287|2023|2023-09-30|9781668024447
40046060|republic-of-lies|read|288|2019|2022-07-24|9781250159052
38606235|subscribed|read|254|2018|2023-01-14|9780525536475
113934|the-goal|read|384|2004|2023-10-22|9780884271789
30307982|the-art-of-less-doing|read|152|2016|2022-01-01|9781619614437
60461917|servants-of-the-damned|read|384|2022|2023-04-24|9780063142176
58485511|the-lords-of-easy-money|read||2022|2026-05-10|9781797135540
50487024|how-did-we-get-here|read||2020|2024-08-23|9781094158624
48589165|the-black-friend|read|272|2020|2021-02-01|9781536217018
218671853|bad-company|read|294|2025|2025-07-25|9780063299351
60399106|the-divider|read|725|2022|2022-10-22|9780385546546
171681821|the-anxious-generation|read|400|2024|2024-12-09|9780593655030
13586928|playing-to-win|read|272|2013|2024-04-02|9781422187395
18693771|the-body-keeps-the-score|read|464|2014|2022-02-01|9780670785933
37570546|maybe-you-should-talk-to-someone|read|415|2019|2020-09-01|9781328662057
31850779|the-vanishing-middle-class|read|234|2017|2021-03-04|9780262036160
53238858|what-happened-to-you|read|304|2021|2023-01-24|9781250223180
44643351|fentanyl-inc|read|356|2019|2024-12-18|9780802127433
44453035|the-power-worshippers|read|352|2020|2025-03-28|9781635573435
27506|state-of-denial|read|576|2006|2026-01-26|9780743272230
239511576|injustice|read|492|2025|2026-02-23|9780593831380
150065063|attack-from-within|read|384|2024|2024-09-03|9781644213636
18668059|the-obstacle-is-the-way|read|201|2014|2022-07-24|9781591846352
204927599|nexus|read|528|2024|2024-10-09|9780593734223
35863927|how-clients-buy|read|272|2018|2023-01-24|9781119434726
8753495|the-fiery-trial|read|336|2010|2020-08-01|9780393066180
199797519|madoff|read|384|2024|2025-03-16|9781476726892
580305|chasing-daylight|read|179|2005|2023-01-13|9780071471725
56620811|the-age-of-ai-and-our-human-future|read|272|2021|2025-04-19|9780316273800
25489625|between-the-world-and-me|read|152|2015|2021-02-01|9780812993547
198493808|the-situation-room|read|466|2024|2024-11-29|9781538740767
1633|getting-things-done|read|267|2001|2022-10-25|9780142000281
62926960|end-times|read|368|2023|2023-08-06|9780593490501
59608800|not-in-it-to-win-it|read|256|2022|2022-10-30|9780310138921
53562067|evil-geniuses|read|430|2020|2022-09-18|9781984801364
39901314|outer-order-inner-calm|read|208|2019|2021-01-01|9781984822802
210963085|imminent|read|275|2024|2025-05-30|9780063235564
50716468|becoming-kim-jong-un|read|336|2020|2025-02-28|9781984819727
53952310|authoritarian-nightmare|read|368|2020|2025-11-02|9781612199061
195820877|world-on-the-brink|read|400|2024|2024-06-02|9781541704091
58433804|the-future-of-work|read|177|2021|2023-11-14|9781647822293
36177789|the-despots-apprentice|read|324|2017|2025-08-24|9781510735859
199798602|code-name|read|256|2025|2025-06-22|9781668032909
41939872|the-threat|read|282|2019|2024-08-24|9781250207593
24040192|the-new-tsar|read|592|2014|2023-02-19|9780307961617
36613747|how-to-change-your-mind|read|480|2018|2023-05-07|9780241294222
57933306|stolen-focus|read|357|2022|2023-02-18|9780593138519
213034913|source-code|read|336|2025|2025-09-11|9780593801581
41012533|fear|read|448|2018|2023-12-17|9781501175510
27214080|five-presidents|read|451|2016|2025-05-23|9781476794136
56863374|mindfulness|read||2017|2024-06-29|9781633693197
148365315|tired-of-winning|read|335|2023|2023-11-21|9780593473993
200342444|pipeline-to-power|read||2023|2023-11-25|
6596|the-four-agreements|read|152|1997|2019-11-01|9781878424501
202102082|keeping-the-faith|read|544|2024|2025-05-04|9780593229927
56898187|corruptible|read|320|2021|2023-05-06|9781982154097
182733784|nuclear-war|read|373|2024|2024-04-19|9780593476093
55180251|how-to-win-client-business|read|240|2021|2023-01-21|9781119676904
27833494|dark-money|read|464|2016|2025-04-06|9780307947901
22573915|the-membership-economy|read|272|2015|2022-06-01|9780071839327
157095669|hidden-potential|read|304|2023|2024-06-12|9780593653142
209786389|framed|read|368|2024|2025-01-19|9780385550444
59088361|do-hard-things|read|320|2022|2023-03-25|9780063098619
6617037|debt|read|534|2011|2023-07-04|9781933633862
12821470|the-republican-brain|read|336|2007|2022-05-01|9781118094518
407999|competitive-strategy|read|397|1980|2020-02-01|9780684841489
58783229|the-flag-and-the-cross|read|176|2022|2023-02-06|9780197618684
35099718|so-you-want-to-talk-about-race|read|248|2018|2020-12-01|9781580056779
211399783|the-thinking-machine|read|272|2025|2025-11-16|9780593832691
31920777|american-kingpin|read|328|2017|2022-12-28|9781591848141
35108805|a-higher-loyalty|read|290|2018|2024-08-29|9781250192455
209999111|ministry-of-truth|read|256|2024|2025-02-16|9780063393677
60965426|the-creative-act|read|406|2023|2023-03-31|9780593652886
23500254|the-power-of-vulnerability|read|1|2013|2020-11-01|9781604078589
22699774|the-lords-of-creation|read|511|1935|2023-06-04|9781497622661
54233271|the-making-of-biblical-womanhood|read|245|2021|2023-02-19|9781587434709
52576769|a-very-stable-genius|read|480|2020|2024-07-28|9781984877505
211179569|1929|read|577|2025|2025-10-19|9780241479421
6691186|how-markets-fail|read|400|2009|2024-03-03|9780374173203
59720687|a-sacred-oath|read|752|2022|2024-12-17|9780063144316
223436601|careless-people|read|382|2025|2026-02-06|9781250391230
38644312|leveraged-learning|read|228|2018|2021-01-01|9781940858692
199798785|challenger|read|563|2024|2024-11-22|9781982176617
52717403|american-oligarchs|read|496|2020|2024-08-27|9781324001874
44034135|kochland|read||2019|2026-04-25|9781508296874
218726721|losing-big|read|192|2025|2025-10-25|9798987053706
45897523|blowout|read|400|2019|2022-12-18|9780525575498
31125556|destined-for-war|read|364|2017|2025-08-13|9780544935273
217217007|war|read|448|2024|2024-10-17|9781668052273
199461393|the-death-of-truth|read|336|2024|2024-12-20|9780525658313
56124858|the-reckoning|read|208|2021|2024-09-11|9781250278456
10418591|i-moved-your-cheese|read|120|2011|2023-01-09|9781609940652
61336679|the-declassification-engine|read|540|2023|2023-05-21|9781101871577
45730424|dark-towers|read|432|2020|2026-02-03|9780062878823
222292401|all-or-nothing|read|400|2025|2026-02-15|9780593735381
53121662|jesus-and-john-wayne|read|356|2020|2022-11-12|9781631495731
