Book Id,Title,Author,ISBN,Save as
235629746,"End of Days: Ruby Ridge, the Apocalypse, and the Unmaking of America",Chris Jennings,9780316381949,covers/235629746.jpg
221226864,Butler: The Untold Story of the Near Assassination of Donald Trump and the Fight for America's Heartland,Salena Zito,9781546009160,covers/221226864.jpg
222292401,All or Nothing: How Trump Recaptured America,Michael  Wolff,9780593735381,covers/222292401.jpg
203579090,The Fall,Michael  Wolff,9781250879264,covers/203579090.jpg
214325852,"Murder the Truth: Fear, the First Amendment, and a Secret Campaign to Protect the Powerful",David Enrich,9780063433038,covers/214325852.jpg
221754271,Coming Up Short: A Memoir of My America,Robert B. Reich,9780593803288,covers/221754271.jpg
231198166,Hated by All the Right People: Tucker Carlson and the Unraveling of the Conservative Mind,Jason Zengerle,9781638932949,covers/231198166.jpg
239511576,Injustice: How Politics and Fear Vanquished America's Justice Department,Carol Leonnig,9780593831380,covers/239511576.jpg
233334472,"The Last American President: A Broken Man, a Corrupt Party, and a World on the Brink",Thom Hartmann,9798890571861,covers/233334472.jpg
224003226,The Haves and Have-Yachts: Dispatches on the Ultrarich,Evan Osnos,9781668204481,covers/224003226.jpg
203040700,When the Night Comes Falling: The Definitive True Crime Investigation into the Idaho Student Murders,Howard Blum,9780063349285,covers/203040700.jpg
216818514,"Mad House: How Donald Trump, MAGA Mean Girls, a Former Used Car Salesman, a Florida Nepo Baby, and a Man with Rats in His Walls Broke Congress",Annie Karni,9780593731260,covers/216818514.jpg
218726721,Losing Big: America's Reckless Bet on Sports Gambling,Jonathan D. Cohen,9798987053706,covers/218726721.jpg
221972207,The Mission: The CIA in the 21st Century,Tim Weiner,9780063270183,covers/221972207.jpg
230169785,Retribution: Donald Trump and the Campaign That Changed America,Jonathan Karl,9798217047000,covers/230169785.jpg
211179569,1929: Inside the Greatest Crash in History – and How It Shattered a Nation,Andrew Ross Sorkin,9780241479421,covers/211179569.jpg
199798602,Code Name: Pale Horse: How I Went Undercover to Expose America's Nazis,Scott   Payne,9781668032909,covers/199798602.jpg
33874545,Shattered: Inside Hillary Clinton's Doomed Campaign,Jonathan   Allen,9780553447095,covers/33874545.jpg
27214080,"Five Presidents: My Extraordinary Journey with Eisenhower, Kennedy, Johnson, Nixon, and Ford",Clint Hill,9781476794136,covers/27214080.jpg
211003831,"Money, Lies, and God: Inside the Movement to Destroy American Democracy",Katherine Stewart,9781635578546,covers/211003831.jpg
209366041,Countdown 1960: The Behind-the-Scenes Story of the 312 Days that Changed America's Politics Forever,Chris Wallace,9780593852194,covers/209366041.jpg
216864525,Fight: Inside the Wildest Battle for the White House,Jonathan   Allen,9780063438644,covers/216864525.jpg
199797519,Madoff: The Final Word,Richard Behar,9781476726892,covers/199797519.jpg
210454076,The Devil at His Elbow: Alex Murdaugh and the Fall of a Southern Dynasty,Valerie Bauerlein,9780593500583,covers/210454076.jpg
209786389,Framed: Astonishing True Stories of Wrongful Convictions,John Grisham,9780385550444,covers/209786389.jpg
210999999,"Something Lost, Something Gained: Reflections on Life, Love, and Liberty",Hillary Rodham Clinton,9781668017234,covers/210999999.jpg
16130157,The Firm: The Story of McKinsey and Its Secret Influence on American Business,Duff McDonald,9781439190999,covers/16130157.jpg
204316955,Undivided: The Quest for Racial Solidarity in an American Church,Hahrie Han,9780593318867,covers/204316955.jpg
40588302,Impeachment: An American History,Jeffrey A. Engel,9781984843500,covers/40588302.jpg
209812423,"True Gretch: What I've Learned About Life, Leadership, and Everything in Between",Gretchen Whitmer,9781668072318,covers/209812423.jpg
208930976,Lucky Loser: How Donald Trump Squandered His Father's Fortune and Created the Illusion of Success,Russ Buettner,9780593298640,covers/208930976.jpg
200342444,Pipeline to Power: The 40-Year Plan to Capture the Supreme Court,Vicky Ward,,covers/200342444.jpg
60584133,"The Big Lie: Election Chaos, Political Opportunism, and the State of American Politics After 2020",Jonathan   Lemire,9781250819635,covers/60584133.jpg
37506133,The Plot to Destroy Democracy: How Putin and his Spies are Undermining America and Dismantling the West,Malcolm W. Nance,9780316484817,covers/37506133.jpg
123273891,"The Fabulist: The Lying, Hustling, Grifting, Stealing, and Very American Legend of George Santos",Mark Chiusano,9781668043677,covers/123273891.jpg
58433804,The Future of Work: The Insights You Need from Harvard Business Review (HBR Insights),Harvard Business Review,9781647822293,covers/58433804.jpg
35863927,How Clients Buy: A Practical Guide to Business Development for Consulting and Professional Services,Tom McMakin,9781119434726,covers/35863927.jpg
55776895,The Tragedy of Rudy Giuliani,Michael  Wolff,,covers/55776895.jpg
55180251,How to Win Client Business When You Don't Know Where to Start: A Rainmaking Guide for Consulting and Professional Services,Doug Fletcher,9781119676904,covers/55180251.jpg
38606235,Subscribed: Why the Subscription Model Will Be Your Company's Future - and What to Do About It,Tien Tzuo,9780525536475,covers/38606235.jpg
60526486,For a Dollar and a Dream: State Lotteries in Modern America,Jonathan D. Cohen,9780197604885,covers/60526486.jpg
199798785,Challenger: A True Story of Heroism and Disaster on the Edge of Space,Adam Higginbotham,9781982176617,covers/199798785.jpg
59608800,Not in It to Win It: Why Choosing Sides Sidelines The Church,Andy Stanley,9780310138921,covers/59608800.jpg
18927310,The Original Watergate Stories (Kindle Single) (The Washington Post Book 1),The Washington Post,9781938120589,covers/18927310.jpg
30307982,The Art Of Less Doing: One Entrepreneur's Formula for a Beautiful Life,Ari R. Meisel,9781619614437,covers/30307982.jpg
